timestamp, index, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB]
2026/01/21 01:59:27.576, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:59:28.576, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:59:29.576, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:59:30.577, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:59:31.577, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:59:32.577, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:59:33.577, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:59:34.577, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:59:35.577, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:59:36.578, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:59:37.578, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:59:38.578, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:59:39.578, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:59:40.578, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:59:41.578, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:59:42.579, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:59:43.579, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:59:44.579, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:59:45.579, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:59:46.579, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:59:47.579, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:59:48.580, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:59:49.580, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:59:50.580, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:59:51.580, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:59:52.580, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:59:53.580, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:59:54.580, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:59:55.581, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:59:56.581, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:59:57.581, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:59:58.581, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:59:59.581, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 02:00:00.581, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 02:00:01.582, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 02:00:02.582, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 02:00:03.582, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 02:00:04.582, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 02:00:05.582, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 02:00:06.582, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 02:00:07.583, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 02:00:08.583, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 02:00:09.583, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 02:00:10.583, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 02:00:11.583, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 02:00:12.583, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 02:00:13.584, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 02:00:14.584, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 02:00:15.584, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 02:00:16.587, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 02:00:17.587, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 02:00:18.587, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 02:00:19.587, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 02:00:20.588, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 02:00:21.588, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 02:00:22.588, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 02:00:23.588, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 02:00:24.588, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 02:00:25.588, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 02:00:26.589, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 02:00:27.589, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 02:00:28.589, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 02:00:29.589, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 02:00:30.589, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 02:00:31.589, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 02:00:32.590, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 02:00:33.590, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 02:00:34.590, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 02:00:35.590, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 02:00:36.590, 0, 0 %, 0 %, 1 MiB, 46068 MiB
